step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
20100,2.55752e-05,0.000242042,1,1,4.831e-05,5.81867,0.0351671,-0.1397,-0.157029,638,12769,289.678
20200,8.82829e-06,0.000108113,1,1,1.81591e-05,5.87706,0.0352907,-0.183028,-0.182756,638,12769,289.746
20300,3.17515e-06,5.21422e-05,1,1,7.28637e-06,5.93352,0.0342081,-0.193134,-0.194949,638,12769,291.569
20400,1.23741e-06,2.61283e-05,1,1,3.67831e-06,5.71779,0.0337961,-0.251354,-0.237997,638,12769,298.867
20500,5.4967e-07,1.35544e-05,1,1,1.97833e-06,5.77113,0.0318731,-0.225875,-0.245182,638,12769,317.856
20600,2.87876e-07,7.85192e-06,1,1,1.31689e-06,5.81531,0.0311059,-0.213865,-0.263242,638,12769,366.955
20700,1.67049e-07,5.44951e-06,1,1,8.53797e-07,5.91453,0.032679,-0.312793,-0.298405,638,12769,474.878
20800,0.00744085,0.0132964,0.997911,0.996308,0.0149543,6.55822,0.0320301,-0.24495,-0.249802,638,12769,576.994
20900,0.000217321,0.000491092,1,1,0.000300322,5.40758,0.035049,-0.242117,-0.21612,638,12769,304.047
21000,0.000708717,0.00141,1,1,0.000925147,5.06348,0.0336028,-0.288816,-0.211307,638,12769,244.369
21100,0.000272473,0.000766758,1,1,0.000513601,5.20396,0.0323017,-0.222533,-0.16683,638,12769,252.043
21200,9.70201e-05,0.000390155,1,1,0.000340295,5.33883,0.0320837,-0.224232,-0.15881,638,12769,261.894
21300,3.41589e-05,0.000199927,1,1,0.000266414,5.47497,0.0316725,-0.246177,-0.166576,638,12769,271.114
21400,1.20767e-05,0.000102951,1,1,0.00022143,5.60929,0.0298328,-0.2173,-0.161981,638,12769,279.503
21500,4.3513e-06,5.34038e-05,1,1,0.000180215,5.73511,0.0294161,-0.266442,-0.189555,638,12769,287.362
21600,1.64617e-06,2.7758e-05,1,1,0.000128248,5.8397,0.0291771,-0.324924,-0.225691,638,12769,295.089
21700,6.8939e-07,1.47583e-05,1,1,8.26992e-05,5.90934,0.0279006,-0.301395,-0.243899,638,12769,304.568
21800,3.39793e-07,8.50824e-06,1,1,4.67052e-05,5.92901,0.028847,-0.291767,-0.252281,638,12769,323.424
21900,1.96835e-07,5.27876e-06,1,1,1.1354e-05,5.92952,0.0298476,-0.156644,-0.17663,638,12769,369.437
22000,1.29169e-07,4.00039e-06,1,1,2.16117e-06,6.13294,0.030401,-0.0651301,-0.0727675,638,12769,519.658
