step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
19000,2.913e-07,15.3874,1,0.232464,6.66182,14.5449,0.138972,-0.178992,-0.236465,638,12769,256.841
19100,2.90864e-07,15.2442,1,0.232688,6.56706,14.5545,0.138445,-0.17083,-0.234701,638,12769,263.483
19200,2.89308e-07,15.0901,1,0.234031,6.47701,14.5655,0.14059,-0.199123,-0.244594,638,12769,264.942
19300,2.93074e-07,14.9119,1,0.236156,6.37483,14.5623,0.139965,-0.208584,-0.244909,638,12769,265.213
19400,2.88904e-07,14.7539,1,0.235821,6.27458,14.5762,0.13498,-0.205504,-0.235054,638,12769,267.304
19500,2.90647e-07,14.5817,1,0.23638,6.16565,14.5875,0.130413,-0.204525,-0.226592,638,12769,273.739
19600,2.90149e-07,14.3878,1,0.238729,6.0561,14.5916,0.125031,-0.212578,-0.212311,638,12769,273.368
19700,2.87876e-07,14.2205,1,0.238729,5.95718,14.611,0.117014,-0.166447,-0.181092,638,12769,285.567
19800,2.92607e-07,14.0244,1,0.240183,5.84195,14.6168,0.119856,-0.171112,-0.1809,638,12769,297.906
19900,2.94226e-07,13.8178,1,0.242868,5.71575,14.6267,0.123706,-0.185443,-0.186108,638,12769,303.739
20000,2.93697e-07,13.6283,1,0.244994,5.59931,14.6434,0.122674,-0.163,-0.172857,638,12769,311.884
20100,2.95409e-07,13.4041,1,0.24656,5.47658,14.6481,0.123933,-0.158305,-0.164439,638,12769,310.493
20200,2.94164e-07,13.1831,1,0.249916,5.34754,14.6548,0.124775,-0.144519,-0.159661,638,12769,304.225
20300,2.94195e-07,12.9487,1,0.252713,5.2106,14.6617,0.127994,-0.174917,-0.169304,638,12769,300.751
20400,2.90647e-07,12.7075,1,0.255733,5.07332,14.671,0.12826,-0.187754,-0.169072,638,12769,292.479
20500,2.88001e-07,12.4761,1,0.259537,4.94602,14.6824,0.127524,-0.180288,-0.163997,638,12769,289.472
20600,2.88841e-07,12.214,1,0.262334,4.79604,14.6776,0.126849,-0.194364,-0.167128,638,12769,288.466
20700,2.8492e-07,11.9572,1,0.26513,4.65429,14.6872,0.126664,-0.182625,-0.163179,638,12769,284.533
20800,2.81029e-07,11.704,1,0.268822,4.50939,14.7075,0.126958,-0.157509,-0.162251,638,12769,283.353
20900,2.80157e-07,11.4509,1,0.27229,4.36435,14.7255,0.128617,-0.155219,-0.167836,638,12769,288.297
21000,2.81465e-07,11.1871,1,0.275646,4.21832,14.739,0.126731,-0.142395,-0.161914,638,12769,294.549
21100,2.83955e-07,10.918,1,0.279338,4.06805,14.7563,0.130462,-0.176736,-0.179536,638,12769,305.792
21200,2.85075e-07,10.6138,1,0.284707,3.90482,14.7619,0.132973,-0.167845,-0.179334,638,12769,305.57
21300,2.84515e-07,10.3367,1,0.289294,3.75941,14.7905,0.135829,-0.162844,-0.180017,638,12769,306.134
21400,2.82834e-07,10.0356,1,0.295559,3.59921,14.809,0.136661,-0.119802,-0.170559,638,12769,302.071
21500,2.77045e-07,9.73348,1,0.301152,3.44242,14.8393,0.141134,-0.142105,-0.186466,638,12769,298.548
21600,2.75022e-07,9.41921,1,0.3082,3.27973,14.8625,0.141049,-0.122266,-0.184885,638,12769,302.846
21700,2.74928e-07,9.10904,1,0.316814,3.12294,14.8944,0.144713,-0.129386,-0.197432,638,12769,307.104
21800,2.75489e-07,8.77602,1,0.324869,2.95496,14.9251,0.154197,-0.154697,-0.226296,638,12769,310.856
21900,2.75395e-07,8.43437,1,0.334266,2.79113,14.9442,0.158195,-0.166477,-0.238801,638,12769,315.353
22000,2.75613e-07,8.0932,1,0.344558,2.62598,14.9758,0.157375,-0.185365,-0.252744,638,12769,323.002
22100,2.77916e-07,7.73401,1,0.355409,2.45464,14.9991,0.158535,-0.219106,-0.260042,638,12769,320.129
22200,2.71256e-07,7.38164,1,0.365813,2.28524,15.0413,0.156924,-0.220264,-0.253768,638,12769,321.37
22300,2.71754e-07,7.02544,1,0.380132,2.12355,15.079,0.160725,-0.23489,-0.258765,638,12769,329.699
22400,2.72843e-07,6.64669,1,0.394004,1.95921,15.1133,0.16196,-0.206783,-0.250016,638,12769,341.088
22500,2.71691e-07,6.25557,1,0.413469,1.78964,15.1574,0.169886,-0.231712,-0.254617,638,12769,355.83
22600,2.79566e-07,5.86471,1,0.430585,1.6319,15.1918,0.177555,-0.297238,-0.258921,638,12769,374.943
22700,2.84453e-07,5.47091,1,0.447925,1.46998,15.2497,0.180117,-0.312602,-0.252546,638,12769,404.867
22800,0.000370501,3.5328,1,0.472536,1.06574,10.6466,0.149244,-0.214938,-0.225779,638,12769,216.724
